Id,HostId,HostName,HostSince,HostResponseRate,HostIsSuperhost,Neighbourhood,Latitude,Longitude,RoomType,Accommodates,Price,MinimumNights,MaximumNights,NumberOfReviews,LastReview,CalculatedHostListingsCount,Availability365,Bedrooms,Beds,Rating,Baths,Shared,Wifi,Heating,Kitchen,CarbonMonoxideAlarm,PetsAllowed,TV,Refrigerator,Elevator,AirConditioning,Parking
16992772,20435863,Vicky,2014-08-23,0.0,False,Southwark,51.46048,-0.07617,Entire home/apt,5.0,130,1,1.0,4,2017-08-28,2,0,3,3,4.0,1,False,True,True,True,False,False,True,True,False,False,False
19409482,28050931,Sunita,2015-02-20,0.0,False,Islington,51.53842,-0.09404,Private room,1.0,137,1,1.0,1,2017-06-22,1,0,1,1,0.0,1,True,True,False,True,False,False,False,False,False,False,False
3677221,135940,Rachel,2010-05-31,0.0,False,Hackney,51.54949,-0.04155,Private room,3.0,35,1,1.0,4,2016-02-03,1,249,1,1,4.75,1,False,True,True,True,False,True,True,False,False,False,False
685290182880309642,24041202,Rz,2014-11-22,1.0,False,Newham,51.53323,0.0043,Private room,1.0,40,1,1.0,20,2023-08-20,13,2,1,1,4.7,2,True,True,True,False,True,False,False,False,False,False,True
882334008151246159,512753700,Aminah,2023-05-02,0.94,False,Lewisham,51.44516080141704,-0.0057640671730041,Private room,1.0,24,1,1.0,20,2023-08-06,1,136,1,1,4.7,1,True,True,False,False,True,False,True,False,False,False,False
36571490,271676096,Randy,2019-06-26,0.0,False,Greenwich,51.4357,0.06967,Entire home/apt,2.0,58,1,1.0,1,2019-09-22,1,0,1,1,0.0,1,False,False,False,True,False,False,False,False,False,False,False
32410160,101187279,Gillian,2016-10-25,0.9,False,Richmond upon Thames,51.45702,-0.30401,Private room,2.0,73,1,1.0,39,2021-05-29,3,310,1,1,4.44,1,False,True,True,False,False,False,True,False,False,False,False
931743588574126861,48131310,Giovanna,2015-11-04,1.0,False,Islington,51.56665533218463,-0.1353500671200503,Entire home/apt,2.0,150,1,1.0,1,2023-07-27,1,45,1,1,0.0,1,False,True,False,True,False,False,False,False,False,False,True
36545073,24583347,Julanta,2014-12-07,0.0,False,Wandsworth,51.46169,-0.15638,Entire home/apt,2.0,80,1,1.0,10,2019-09-29,1,0,1,2,5.0,1,False,True,True,False,True,False,False,True,False,False,False
16996840,56728455,Sandra,2016-01-30,0.0,False,Southwark,51.49146,-0.041,Entire home/apt,2.0,76,1,1.0,1,2017-02-14,1,0,1,1,0.0,1,False,True,False,True,False,False,True,False,False,False,False
22030162,39908204,Air,2015-07-29,0.0,False,Camden,51.5337,-0.13679,Private room,2.0,81,1,1.0,1,2017-12-12,1,0,1,1,0.0,1,True,True,True,False,False,False,False,False,True,False,False
615661360097907729,3660280,Arno,2012-09-24,1.0,True,Lewisham,51.473461,-0.02148,Private room,2.0,89,1,1.0,7,2023-07-30,2,69,1,1,4.86,1,False,True,True,False,False,False,False,False,True,False,False
615265630813845955,24041202,Rz,2014-11-22,1.0,False,Newham,51.5332,0.00276,Shared room,1.0,52,1,1.0,11,2022-11-13,13,90,1,1,4.82,1,True,True,False,False,True,False,False,False,False,False,False
601164730875489212,79838704,Judith,2016-06-25,1.0,False,Hackney,51.53463,-0.08348,Private room,1.0,41,1,1.0,1,2023-07-22,2,0,1,1,0.0,1,True,True,False,False,True,False,False,False,False,False,False
897082005516471082,372287827,A,2020-10-17,1.0,False,Tower Hamlets,51.4975391302307,-0.0184278467419259,Entire home/apt,2.0,155,1,1.0,6,2023-08-20,1,86,1,1,5.0,1,False,True,False,True,True,False,True,True,True,False,True
933806708395339112,236729601,Ayo,2019-01-15,0.88,False,Greenwich,51.48713202455112,0.0674548745155334,Shared room,1.0,20,1,1.0,1,2023-08-01,1,269,1,1,0.0,1,True,True,False,True,True,True,True,False,False,False,True
771832651120766456,213025412,Farisa,2018-09-01,0.55,False,Croydon,51.377737626094536,-0.0944899531750457,Private room,1.0,60,1,1.0,1,2023-03-25,3,358,1,1,0.0,1,False,True,True,False,False,False,False,False,False,False,False
